NN_Accuracies,NN_Times,NN_Epochs,NN_Batch_Size
0.3333333333333333,0.03990602493286133,0.0,8.0
0.3333333333333333,0.041413307189941406,0.0,10.0
0.3333333333333333,0.07266807556152344,0.0,14.0
0.3333333333333333,0.0779578685760498,0.0,12.0
0.3333333333333333,0.2847459316253662,20.0,14.0
0.3333333333333333,0.3317911624908447,20.0,12.0
0.3333333333333333,0.37723517417907715,20.0,10.0
0.3333333333333333,0.4494588375091553,20.0,8.0
0.3333333333333333,0.4960818290710449,0.0,6.0
0.3333333333333333,0.5014400482177734,40.0,14.0
0.3333333333333333,0.5647931098937988,40.0,12.0
0.3333333333333333,0.6614868640899658,40.0,10.0
0.3333333333333333,0.7450051307678223,60.0,14.0
0.3333333333333333,0.8033978939056396,40.0,8.0
0.3333333333333333,0.827739953994751,60.0,12.0
0.3333333333333333,0.9727327823638916,60.0,10.0
0.3333333333333333,1.015474796295166,40.0,6.0
0.3333333333333333,1.0356829166412354,80.0,14.0
0.3333333333333333,1.1652722358703613,80.0,12.0
0.3333333333333333,1.2159512042999268,100.0,14.0
0.3333333333333333,1.2670679092407227,80.0,10.0
0.3333333333333333,1.37919020652771,100.0,12.0
0.3333333333333333,1.4429800510406494,120.0,14.0
0.3333333333333333,1.4946339130401611,60.0,6.0
0.3333333333333333,1.5283589363098145,80.0,8.0
0.3333333333333333,1.585625171661377,100.0,10.0
0.3333333333333333,1.6272976398468018,120.0,12.0
0.3333333333333333,1.7673680782318115,20.0,6.0
0.3333333333333333,1.9001548290252686,140.0,12.0
0.3333333333333333,1.9059431552886963,120.0,10.0
0.3333333333333333,1.9404211044311523,100.0,8.0
0.3333333333333333,2.002810001373291,80.0,6.0
0.3333333333333333,2.0396108627319336,140.0,14.0
0.3333333333333333,2.20238995552063,140.0,10.0
0.3333333333333333,2.2699620723724365,120.0,8.0
0.3333333333333333,2.481395959854126,100.0,6.0
0.3333333333333333,2.6758692264556885,140.0,8.0
0.3333333333333333,2.961272954940796,120.0,6.0
0.3333333333333333,3.396718978881836,140.0,6.0
0.3333333333333333,5.350259780883789,60.0,8.0
