,Random_Forest,Logistic_Regression,SVM
count,1.0,1.0,1.0
mean,0.8666666666666667,0.8666666666666667,0.9
std,,,
min,0.8666666666666667,0.8666666666666667,0.9
25%,0.8666666666666667,0.8666666666666667,0.9
50%,0.8666666666666667,0.8666666666666667,0.9
75%,0.8666666666666667,0.8666666666666667,0.9
max,0.8666666666666667,0.8666666666666667,0.9
